Date	316 HK Equity	1378 HK Equity	883 HK Equity	1171 HK Equity	386 HK Equity	1308 HK Equity	1088 HK Equity	998 HK Equity	600019 CH Equity	1919 HK Equity	3988 HK Equity	1288 HK Equity	3323 HK Equity	762 HK Equity	857 HK Equity	3328 HK Equity	728 HK Equity	941 HK Equity	939 HK Equity	000651 CH Equity	601088 CH Equity	2007 HK Equity	601006 CH Equity	1398 HK Equity	002157 CH Equity	601155 CH Equity	267 HK Equity	1044 HK Equity	601328 CH Equity	600028 CH Equity	601169 CH Equity	17 HK Equity	868 HK Equity	601225 CH Equity	601988 CH Equity	688 HK Equity	000002 CH Equity	601818 CH Equity	601288 CH Equity	2628 HK Equity	6 HK Equity	601398 CH Equity	000069 CH Equity	600000 CH Equity	601939 CH Equity
1/14/22	213.000	8.930	9.200	16.480	4.000	31.850	19.660	3.660	8.896	15.920	3.010	2.910	10.340	4.070	3.870	5.100	2.880	50.800	5.890	46.870	27.595	6.39	7.904	4.71	12.253	37.790	8.64	40.6	5.796	5.208	5.526	30.75	19.38	14.949	3.786	22.1	25.365	4.166	3.639	13.46	48.75	5.735	9.276	10.526	7.377
1/17/22	207.400	8.830	9.300	16.260	4.050	31.650	19.680	3.660	8.983	15.260	2.970	2.890	10.100	4.060	3.900	5.060	2.880	50.550	5.850	47.308	27.476	5.87	7.903	4.7	12.358	38.619	8.49	39.15	5.768	5.191	5.547	30.6	19.4	15.070	3.792	21.85	25.611	4.148	3.620	13.46	48.85	5.706	9.486	10.517	7.339
1/18/22	208.000	8.900	9.350	16.740	4.120	31.700	19.980	3.680	9.272	15.400	2.970	2.890	10.280	4.050	3.970	5.110	2.880	50.600	5.870	48.090	28.626	6.16	7.997	4.67	11.946	39.750	8.65	38.65	5.887	5.323	5.617	30.55	19.32	15.650	3.827	22.25	26.480	4.195	3.667	13.52	48.6	5.752	9.996	10.584	7.445
1/19/22	209.000	8.990	9.430	17.420	4.160	31.000	20.750	3.700	9.455	15.080	3.000	2.910	10.800	4.040	4.020	5.150	2.870	50.300	5.860	48.440	28.867	6.67	8.079	4.67	11.739	41.011	8.77	39.3	5.894	5.329	5.624	30.55	20.35	15.864	3.819	23.35	26.891	4.224	3.659	13.68	48.7	5.771	10.032	10.609	7.429
1/20/22	199.600	8.990	9.310	18.040	4.110	29.500	20.950	3.730	9.541	14.820	3.000	2.930	10.820	4.050	3.950	5.170	2.850	50.500	5.870	49.117	29.323	6.96	8.092	4.69	12.083	43.739	8.69	39.55	5.931	5.341	5.648	30.7	21.25	15.951	3.831	23.05	27.149	4.236	3.684	14.2	48.55	5.833	10.020	10.806	7.527
1/21/22	188.200	9.240	9.280	18.940	4.110	30.750	21.150	3.740	9.212	14.180	3.010	2.950	10.740	4.040	3.900	5.250	2.920	51.250	5.900	48.025	29.491	6.76	8.168	4.7	11.460	42.940	8.79	40.1	5.908	5.269	5.625	31.9	21.85	16.238	3.832	23.45	26.580	4.201	3.685	14.1	48.6	5.773	10.035	10.760	7.456
1/24/22	183.700	9.070	9.350	18.840	4.130	29.750	21.150	3.760	9.298	14.000	3.030	2.970	10.640	4.100	3.920	5.240	2.940	52.300	5.940	47.781	29.665	6.67	8.080	4.72	11.377	43.649	8.85	39.9	5.879	5.264	5.608	32.25	21.7	16.370	3.837	23.45	26.689	4.194	3.677	14.04	48.55	5.780	9.913	10.688	7.478
1/25/22	182.600	8.690	9.240	18.320	4.050	29.450	20.550	3.710	8.897	13.620	3.030	2.940	10.360	4.050	3.870	5.200	2.920	52.300	5.920	47.859	28.796	6.55	8.024	4.72	10.891	42.493	8.78	39	5.833	5.156	5.513	32.1	21.1	15.875	3.803	23.25	25.621	4.123	3.630	13.9	48.45	5.747	9.722	10.534	7.384
1/26/22	184.200	9.200	9.410	17.940	4.060	29.450	20.550	3.740	8.954	13.800	3.010	2.900	10.280	4.180	3.940	5.280	2.970	53.400	5.940	48.230	28.536	6.64	8.055	4.73	11.072	42.441	8.75	38.65	5.936	5.234	5.567	32	21.1	15.777	3.806	23.4	25.531	4.138	3.646	13.84	48.55	5.776	9.656	10.555	7.439
1/27/22	181.300	8.920	9.310	17.500	4.060	29.350	20.300	3.750	8.844	13.980	3.020	2.940	10.120	4.120	3.930	5.240	2.940	52.650	5.950	45.751	28.723	6.52	8.000	4.72	10.655	42.191	8.81	38.6	5.860	5.174	5.517	31.8	20.9	15.744	3.780	23.05	25.004	4.098	3.609	13.66	48.85	5.725	9.468	10.337	7.389
